borough,cd,schooldist,zipcode,address,bldgclass,landuse,numfloors,bldgdepth,yearbuilt,landmark,latitude,longitude
MN,106.0,2.0,10016.0,242 EAST 40 STREET,C,4.0,4.0,53.0,1920.0,,40.7486277,-73.9739244
MN,106.0,2.0,10016.0,241 EAST 39 STREET,C,2.0,4.0,52.0,1900.0,,40.7484055,-73.9741807
MN,106.0,2.0,10017.0,301 EAST 40 STREET,D,3.0,21.0,235.0,1963.0,,40.7485588,-73.9724988
MN,106.0,2.0,10017.0,819 2 AVENUE,S,4.0,4.0,76.0,1900.0,,40.7510508,-73.9716713
MN,106.0,2.0,10017.0,220 EAST 42 STREET,R,5.0,37.0,330.0,1928.0,INDIVIDUAL AND INTERIOR LANDMARK,40.7497694,-73.9731804
MN,106.0,2.0,10017.0,205 EAST 42 STREET,R,5.0,21.0,200.0,1929.0,,40.7508097,-73.9735373
MN,106.0,2.0,10017.0,222 EAST 44TH STREET,R,4.0,42.0,200.83,1964.0,,40.7513118,-73.972689
MN,106.0,2.0,10017.0,815 2 AVENUE,O,5.0,11.0,125.0,1963.0,,40.7508395,-73.971841
MN,106.0,2.0,10017.0,817 2 AVENUE,S,4.0,4.0,52.0,1901.0,,40.7510069,-73.9717038
MN,106.0,2.0,10017.0,675 3 AVENUE,O,5.0,31.0,105.0,1966.0,,40.7510156,-73.9738693
MN,106.0,2.0,10017.0,685 3 AVENUE,O,5.0,27.0,130.0,1960.0,,40.7515809,-73.9733313
MN,106.0,2.0,10017.0,246 EAST 44 STREET,S,4.0,5.0,65.0,1910.0,,40.7511469,-73.9718156
MN,106.0,2.0,10017.0,235 EAST 42 STREET,O,5.0,33.0,225.0,1960.0,,40.7503923,-73.9725233
MN,106.0,2.0,10017.0,230 EAST 44 STREET,D,4.0,14.0,94.0,1963.0,,40.751254,-73.9721548
MN,106.0,2.0,10017.0,231 EAST 43 STREET,H,5.0,20.0,0.0,2012.0,,40.7509439,-73.9721983
MN,106.0,2.0,10016.0,245 EAST 39 STREET,C,2.0,5.0,72.0,1900.0,,40.7483368,-73.9740147
MN,106.0,2.0,10017.0,219 EAST 42 STREET,O,5.0,9.0,200.0,1905.0,,40.7506724,-73.9730501
MN,106.0,2.0,10017.0,202 EAST 42 STREET,K,4.0,5.0,72.0,1946.0,,40.7503789,-73.9741438
MN,106.0,2.0,10017.0,823 2 AVENUE,S,4.0,4.0,75.0,1900.0,,40.7511469,-73.9716026
MN,106.0,2.0,10017.0,214 EAST 42 STREET,H,5.0,40.0,194.0,1980.0,,40.7501072,-73.9739815
MN,106.0,2.0,10017.0,45 TUDOR CITY PLACE,D,3.0,23.5,56.0,1927.0,,40.7493459,-73.9699937
MN,106.0,2.0,10017.0,338 EAST 44 STREET,O,5.0,15.0,100.0,1987.0,,40.7502846,-73.9698526
MN,106.0,2.0,10017.0, TUDOR CITY PLACE,Q,9.0,,0.0,0.0,,40.7495381,-73.9703907
MN,106.0,2.0,10017.0,773 1 AVENUE,Z,8.0,6.0,100.0,1966.0,,40.7499661,-73.9694016
MN,106.0,2.0,10017.0,765 1 AVENUE,D,4.0,5.0,73.75,1926.0,,40.7498014,-73.9694738
MN,106.0,2.0,10017.0,763 1 AVENUE,Z,8.0,6.0,68.0,1928.0,,40.7497108,-73.9695424
MN,106.0,2.0,10017.0,777 1 AVENUE,O,5.0,12.0,92.0,1963.0,,40.7501197,-73.9692896
MN,106.0,2.0,10017.0,315 EAST 43 STREET,D,3.0,10.0,86.0,1928.0,,40.7502381,-73.9705022
MN,106.0,2.0,10017.0,820 2 AVENUE,R,5.0,19.0,100.0,1962.0,,40.7508064,-73.9710975
MN,106.0,2.0,10017.0,800 2 AVENUE,R,5.0,18.0,80.0,1957.0,,40.7500545,-73.9716717
MN,106.0,2.0,10017.0,806 2 AVENUE,R,4.0,28.0,0.0,1983.0,,40.7505594,-73.9712564
MN,106.0,2.0,10017.0,333 EAST 41 STREET,D,3.0,6.0,86.0,1926.0,,40.7488192,-73.9713077
MN,106.0,2.0,10017.0, TUDOR CITY PLACE,Q,9.0,,0.0,0.0,,40.7487999,-73.9709287
MN,106.0,2.0,10017.0,1 TUDOR CITY PLACE,D,3.0,26.0,108.0,1930.0,,40.7479847,-73.9708786
MN,106.0,2.0,10017.0,801 2 AVENUE,O,5.0,22.0,75.0,1932.0,,40.7504251,-73.9721299
MN,106.0,2.0,10017.0,328 EAST 43 STREET,D,3.0,10.0,85.0,1928.0,,40.7498127,-73.9707009
MN,106.0,2.0,10017.0,225 EAST 43 STREET,W,8.0,4.0,100.0,1950.0,,40.7510345,-73.9724112
MN,106.0,2.0,10017.0,312 EAST 42 STREET,D,3.0,32.0,76.0,1929.0,,40.749209,-73.9714808
MN,106.0,2.0,10017.0,328 EAST 42 STREET,Q,9.0,,0.0,0.0,,40.749047,-73.9711524
MN,106.0,2.0,10017.0,327 EAST 42 STREET,Q,9.0,,0.0,0.0,,40.7495437,-73.9707949
MN,106.0,2.0,10017.0,235 EAST 43 STREET,D,3.0,26.0,200.0,1990.0,,40.7509823,-73.9719997
MN,106.0,2.0,10017.0,305 EAST 43 STREET,Z,8.0,5.0,100.0,1950.0,,40.7504056,-73.9708956
MN,106.0,2.0,10016.0,685 FIRST AVENUE,R,4.0,44.0,113.0,2016.0,,40.747403,-73.971413
MN,106.0,2.0,10016.0,300 EAST 40 STREET,R,4.0,32.0,160.0,1967.0,,40.7480017,-73.9728383
MN,106.0,2.0,10016.0,247 EAST 39 STREET,C,2.0,5.0,72.0,1900.0,,40.7482984,-73.9739245
MN,106.0,2.0,10016.0,729 2ND AVENUE,V,11.0,,0.0,0.0,,40.7482599,-73.9737188
MN,106.0,2.0,10017.0,655 3 AVENUE,O,5.0,28.0,105.0,1958.0,,40.7502719,-73.9744146
MN,106.0,2.0,10016.0,237 EAST 39 STREET,O,4.0,4.0,45.0,1920.0,,40.7484137,-73.9743323
MN,112.0,6.0,10034.0,423 WEST 218 STREET,G,7.0,1.0,98.0,1922.0,,40.870941,-73.9128394
MN,112.0,6.0,10034.0,400 WEST 219 STREET,V,11.0,,0.0,0.0,,40.8708252,-73.9121959
MN,112.0,6.0,10034.0,409 WEST 218 STREET,G,7.0,1.0,100.0,1970.0,,40.870842,-73.9126045
MN,112.0,6.0,10034.0,3815 9 AVENUE,K,5.0,1.0,100.0,1970.0,,40.8619669,-73.9179667
MN,112.0,6.0,10034.0,409 WEST 220 STREET,G,10.0,,0.0,0.0,,40.8721203,-73.9116591
MN,112.0,6.0,10034.0,9 AVE,G,10.0,,0.0,0.0,,40.8715021,-73.9107921
MN,112.0,6.0,10034.0,9 AVENUE,G,10.0,,0.0,0.0,,40.8722899,-73.9109031
MN,112.0,6.0,10034.0,4116 9 AVENUE,O,5.0,4.0,100.0,1950.0,,40.8714534,-73.9117323
MN,112.0,6.0,10034.0,4055 10 AVENUE,O,5.0,1.0,485.0,2007.0,,40.8700882,-73.9138529
MN,112.0,6.0,10034.0,WEST 204 STREET,G,10.0,,0.0,0.0,,40.8618156,-73.9175945
MN,112.0,6.0,10034.0,3816 9 AVENUE,W,8.0,1.0,100.0,1970.0,,40.8621951,-73.9185195
MN,112.0,6.0,10034.0,3835 10 AVENUE,G,7.0,1.0,74.0,1956.0,,40.8632332,-73.9194221
MN,112.0,6.0,10034.0,3863 10 AVENUE,K,5.0,2.0,84.0,1914.0,,40.8640425,-73.9188282
MN,112.0,6.0,10034.0,3867 10 AVENUE,K,5.0,1.0,44.0,1990.0,,40.8641632,-73.9187413
