zipcode,address,bldgclass,numfloors,bldgdepth,yearbuilt,latitude,longitude
10034.0,3835 10 AVENUE,Commercial,1.0,74.0,1956.0,40.8632332,-73.9194221
10034.0,3863 10 AVENUE,Commercial,2.0,84.0,1914.0,40.8640425,-73.9188282
10034.0,3867 10 AVENUE,Commercial,1.0,44.0,1990.0,40.8641632,-73.9187413
10034.0,3855 10 AVENUE,Residential,5.0,90.0,1915.0,40.8637956,-73.9190056
10034.0,430 WEST 207 STREET,Commercial,,0.0,0.0,40.8637127,-73.9182393
10034.0,408 WEST 207 STREET,Commercial,,0.0,0.0,40.863446,-73.9176033
10034.0,401 WEST 207 STREET,Commercial,1.0,19.75,2004.0,40.864165,-73.9174108
10034.0,375 WEST 207 STREET,Commercial,,0.0,0.0,40.8637715,-73.9160773
10034.0,350 WEST 206 STREET,Commercial,1.0,84.0,1955.0,40.8623009,-73.9168455
10034.0,3859 10 AVENUE,Commercial,2.0,84.0,1914.0,40.863919,-73.9189187
10034.0,425 WEST 205 STREET,High Rise,6.0,86.0,1946.0,40.8630325,-73.9189523
10034.0,3843 10 AVENUE,Commercial,1.0,60.0,1951.0,40.8634773,-73.9192446
10034.0,420 WEST 205 STREET,Residential,3.0,86.0,1948.0,40.8625879,-73.9190686
10034.0,3801 10 AVENUE,Commercial,1.0,59.0,1960.0,40.8622374,-73.920168
10034.0,3815 10 AVENUE,Commercial,1.0,51.0,1976.0,40.8627504,-73.9197951
10034.0,436 WEST 204 STREET,Residential,5.0,86.0,1915.0,40.8620669,-73.919767
10034.0,3795 10 AVENUE,Commercial,2.0,100.0,1927.0,40.861996,-73.9203455
10034.0,400 WEST 202 STREET,Commercial,1.0,100.0,1920.0,40.8604503,-73.9198014
10034.0,425 WEST 203 STREET,Commercial,1.0,100.0,1987.0,40.8617925,-73.9198613
10034.0,499 WEST 202 STREET,Commercial,1.0,200.0,1973.0,40.8613345,-73.9203427
10034.0,439 WEST 204 STREET,Commercial,2.0,76.0,1958.0,40.8625252,-73.9196796
10034.0,3775 10 AVENUE,Commercial,1.0,100.0,1923.0,40.8614885,-73.9207004
10034.0,175 NAGLE AVENUE,High Rise,14.0,54.67,1951.0,40.861144,-73.9226783
10034.0,5134 BROADWAY,Commercial,2.0,50.0,1948.0,40.8719919,-73.9124547
